編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRSMLLKOHJGFBN56DA,,85.18,集合住宅,鋼筋混凝土造,113年10月24日,十層,四層 陽台,全筆移轉
RPVSMLLKOHJGFBN96DA,,71.60,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPPWMLLKOHJGFBN76DA,,86.85,集合住宅,鋼筋混凝土造,113年10月24日,十層,五層 陽台,全筆移轉
RPRSMLLKOHJGFBN56DA,,71.60,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPPWMLLKOHJGFBN76DA,,72.41,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPVTMLLKOHJGFBN07DA,,84.62,集合住宅,鋼筋混凝土造,113年10月24日,十層,七層 陽台,全筆移轉
RPVTMLLKOHJGFBN07DA,,71.44,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPUSMLLKOHJGFBN86DA,,85.18,集合住宅,鋼筋混凝土造,113年10月24日,十層,七層 陽台,全筆移轉
RPUSMLLKOHJGFBN86DA,,71.60,本共有部分項目有：消防機房、雨污水機房、水箱、梯廳兼排煙室、停車空間、樓梯間、發電機房、電信室、台電配電室（一）、台電配電室（二）、排煙室、梯廳、車道、管委會使用空間、水錶室、電梯機房。,鋼筋混凝土造,113年10月24日,十層,,持分移轉
RPORMLMKOHJGFBN88DA,,85.86,集合住宅,鋼筋混凝土造,113年10月24日,十層,四層 陽台,全筆移轉
